date,paid_search_spend,paid_social_spend,display_spend,email_volume
2022-01-02,53973.713224089865,38871.00001833794,22575.23843153024,333016.6539595212
2022-01-09,48893.885590630525,42828.35599770177,39263.657453273605,332540.38544002554
2022-01-16,55181.50830480554,53203.30130847371,22854.452553465835,352219.1522861732
2022-01-23,62184.23885126421,41222.04468982287,25677.828200902994,300840.15366531035
2022-01-30,48126.77300221331,41802.85273505935,24770.008817466012,327278.1188517986
2022-02-06,48126.904344406554,39478.87858963683,23256.95625652899,287589.32973626174
2022-02-13,62633.70252405913,26568.60149290671,18423.653776798274,312966.6540995377
2022-02-20,56139.47783322327,39814.402871855484,23794.846102466337,294794.2778252926
2022-02-27,46244.204912520385,40421.61146958719,16135.873927312141,303879.83859970875
2022-03-06,54340.48034868772,57242.694787397006,18815.906966299957,323806.2810174765
2022-03-13,46292.6584575003,38653.47324653214,17573.182260854483,267271.1726706611
2022-03-20,46274.16197143795,42110.831396335285,20409.37069693161,383695.4910274184
2022-03-27,51935.698172528275,39757.0176120633,31573.292833367545,259759.30474001192
2022-04-03,34693.758042737616,31819.253736663275,10663.674037041259,251432.4554884907
2022-04-10,36200.65733989574,47999.759701605144,23431.300951872567,346324.43494000274
2022-04-17,45501.69976607222,45263.53122880742,11936.420644051741,331666.50775851746
2022-04-24,41897.35103732461,45537.22362930133,17640.340671052832,324964.79268208623
2022-05-01,52513.97866076219,33634.28781643683,25444.75298483683,325133.8203705712
2022-05-08,42735.807395830314,49819.560176552695,20321.400095477315,299510.12908612343
2022-05-15,38701.57038931767,30187.042560454036,14611.276110353469,264109.82514056674
2022-05-22,61725.19015137243,44107.99965660189,16423.48145370016,303032.18232774903
2022-05-29,48193.789596107716,55333.18938066985,23397.988744673377,272913.53153951553
2022-06-05,50540.22563750339,33066.24572408518,16348.166841414317,339004.78933671006
2022-06-12,38602.01451029234,36035.9158927806,21082.292947909875,294117.70473991445
2022-06-19,45644.93820379854,40697.55955561349,20227.85919951907,266980.11212829954
2022-06-26,50887.38071767893,36475.6704211866,16741.998261970915,287144.56633388024
2022-07-03,40792.051380621575,29145.35598253707,30719.720446626627,316517.25817102497
2022-07-10,53005.58414676537,40479.94082364219,23169.595111590057,277451.01788784104
2022-07-17,45194.89048064956,32563.874003917266,9874.287066711964,267111.18417734274
2022-07-24,47666.450001653786,43315.14701444627,20932.271573847138,309747.4884596765
2022-07-31,45186.34710216482,33564.03036036338,16691.06767615806,309798.66284434893
2022-08-07,64818.2254760715,50849.540835122774,24262.16667398112,279722.2729851548
2022-08-14,49892.02220209653,34517.22695364634,16037.396307836498,281158.4677752671
2022-08-21,41538.3125683528,37745.56938656027,19426.317792665504,309281.9974943054
2022-08-28,56580.35929682551,45694.62052158769,22524.936394902285,242076.62634010703
2022-09-04,40233.25080023182,31383.949784962315,24328.775970850606,243701.44902493778
2022-09-11,51670.908760038044,41592.21954222891,13998.517964721119,271262.23114990257
2022-09-18,34322.63900896179,49149.999279977,18327.49382079526,291462.1139315261
2022-09-25,39374.51160881256,28747.61735807141,17625.27344419522,312436.3026239202
2022-10-02,51574.88988695299,41292.43700972613,16733.353837131443,359014.2486779821
2022-10-09,55907.73263996329,41819.179559738965,28827.271201405485,334306.3849280808
2022-10-16,51370.946249519766,45472.76010244117,22024.908554804777,293602.4588014629
2022-10-23,49074.813740894075,31341.345023853428,13695.580228324774,299239.3516838924
2022-10-30,47591.17043528569,30756.803708410065,24589.30973527388,259898.82541448766
2022-11-06,38171.82407706058,43653.59095931828,30610.780985063167,299259.4745603044
2022-11-13,44241.24633284233,42078.8927126323,25162.326302755733,288453.65444319445
2022-11-20,46314.8898323217,41753.449952421135,12403.150170229932,312908.7424135236
2022-11-27,58456.977809751326,42425.13746647883,17578.829635668742,266910.7622579071
2022-12-04,52748.94631654769,35239.82694895056,26334.555745933114,320773.8605696469
2022-12-11,35895.678757098125,41625.775880127025,16461.652671906097,361309.5565201031
2022-12-18,52592.67175515836,42051.50731309077,22219.09714073114,295649.5940617257
2022-12-25,46919.34175666947,34999.54007381543,23873.170267146685,316068.46888395766
2023-01-01,44584.62399755233,53060.421578013294,15365.347642109586,327605.7596684445
2023-01-08,54893.41031072694,43316.83044638251,19702.373219691,283951.18112456653
2023-01-15,58247.99617996761,31660.87551958146,3793.6632996546377,308963.69927241665
2023-01-22,57450.24095292959,44595.875260436806,14878.06179332855,300503.6960312718
2023-01-29,43286.259814218894,33177.228308408754,18737.1592430342,303907.0439419533
2023-02-05,47526.300993190285,45509.592226197165,13761.084090175753,269079.60864578135
2023-02-12,52650.10745122851,48110.169053051824,28162.056519658177,300980.4069703577
2023-02-19,57804.36101697887,34255.223771538025,12849.293110196837,319919.93164981797
2023-02-26,46166.60609723768,46743.632904710255,17799.77756651508,358045.7443118017
2023-03-05,48514.72818668946,42889.46648855549,20653.702886430456,338370.8330434083
2023-03-12,41149.32020795177,45754.42111996143,27206.366445330576,386127.29830046225
2023-03-19,40430.347007354634,53277.55087857763,12820.689244102803,269306.097484478
2023-03-26,56500.206579153586,38282.283187979905,25815.818760774797,334892.82546882716
2023-04-02,60849.92022856658,34723.846849497575,20051.165305097937,307333.68022953405
2023-04-09,49423.919027357326,33773.39899262134,15092.456744760246,387592.1173287069
2023-04-16,58028.263183136194,34289.32800524193,22310.517371316353,267668.06858579395
2023-04-23,52893.08820038107,39460.28803410127,20995.29847786735,266411.12631276896
2023-04-30,44839.041963159005,42388.063823716504,16998.915614206027,276024.2941822391
2023-05-07,52891.16484406731,41936.835595310135,20349.010424950095,215044.17102760772
2023-05-14,62304.292531727755,45790.282743252166,18073.4320156912,278969.7991327696
2023-05-21,49713.39168712039,40091.013243145346,20567.58672625624,269634.6935378521
2023-05-28,62517.149246512054,50174.738540101214,23310.653372605233,306015.7514590483
2023-06-04,29042.039167282044,38147.40216733431,27930.08408072676,313670.2390310864
2023-06-11,56575.22003500179,59041.184166127336,13810.922505865754,375046.83356863545
2023-06-18,50696.37654590537,44379.67143435504,30665.166873281334,338016.953527442
2023-06-25,47607.94119627306,33999.89710508602,10239.56100238749,276923.85377350386
2023-07-02,50734.08621228402,32503.752513572214,19241.074524822085,264063.41314606566
2023-07-09,34099.44868319286,43377.306906702295,22941.58603242288,319676.7668602602
2023-07-16,48242.6248972999,38435.760502719044,21404.959338675162,247190.6717191743
2023-07-23,52856.900572093975,44998.00345864464,16886.502400897032,373258.35063417413
2023-07-30,61823.15235793213,43312.66337201482,18959.388748213623,347177.6048288515
2023-08-06,45853.83825381082,39490.19761140189,17534.995326705837,281232.9739158118
2023-08-13,43532.0511768545,34072.44397352116,17053.17621527894,231474.61883636488
2023-08-20,45985.94365132371,29396.06942719895,24248.010485105122,354154.8949666165
2023-08-27,57323.21694161659,36874.395335530855,21785.077429825236,295418.4061898953
2023-09-03,52630.008877277476,45994.791560264304,16535.45202369673,349512.65247893846
2023-09-10,45761.91836986369,41498.65620891143,24497.999377166256,236222.89364822532
2023-09-17,54106.139464906846,31279.828549016085,21536.497604383047,276024.99908184906
2023-09-24,50776.620394784324,41212.26648095827,24064.3105941948,300209.74798872735
2023-10-01,57749.15992426311,42697.22165810186,23148.14420961806,301879.2237505897
2023-10-08,44383.57524898118,33812.99794659207,15855.02494538964,281997.3811408302
2023-10-15,47378.70282721786,41076.0757416187,17199.09479901515,324913.99729389994
2023-10-22,46863.13477494274,40407.461029122,23736.46802561631,257295.18282469624
2023-10-29,38291.88041494305,31999.207915185638,23051.851327167326,294304.8205991483
2023-11-05,52368.96221651661,42504.511522437984,19895.49203017926,304811.825268476
2023-11-12,52088.442177439116,43925.49168457764,20586.63691654391,320577.55336235
2023-11-19,50040.907653139686,47581.35870222694,26388.324478942122,328464.59512355557
2023-11-26,48123.30293299883,47376.61436424432,17042.143055820852,255014.31632648525
2023-12-03,38677.034063596686,30356.314424300363,22735.48690585019,238635.43317057512
2023-12-10,46634.83741787713,33435.22472059414,18989.03673783053,351107.07287594036
2023-12-17,47258.283867785845,43605.24687046062,18911.5939838639,313292.5604791837
2023-12-24,43581.78184622705,43596.50165638546,25493.88425993595,270060.53853773786
